,barcode,n_genes,percent_mito,n_counts,desc_0.8,max.prob0.8
GSM1594494,GSM1594494,43799,0.0,201364.62,12,0.55079967
GSM1594495,GSM1594495,43799,0.0,201350.14,3,0.4393961
GSM1594496,GSM1594496,43799,0.0,200909.1,3,0.33195454
GSM1594497,GSM1594497,43799,0.0,199018.92,8,0.53205824
GSM1594498,GSM1594498,43799,0.0,201700.56,3,0.48512912
GSM1594499,GSM1594499,43799,0.0,202540.16,7,0.42576966
GSM1594500,GSM1594500,43799,0.0,200823.02,7,0.42082986
GSM1594501,GSM1594501,43799,0.0,201437.88,5,0.5142817
GSM1594502,GSM1594502,43799,0.0,198223.58,0,0.31762338
GSM1594503,GSM1594503,43799,0.0,199688.02,5,0.38437015
GSM1594504,GSM1594504,43799,0.0,201485.53,7,0.23517686
GSM1594505,GSM1594505,43799,0.0,201577.44,5,0.4538535
GSM1594506,GSM1594506,43799,0.0,198885.05,12,0.54634184
GSM1594507,GSM1594507,43799,0.0,199302.77,0,0.3857294
GSM1594508,GSM1594508,43799,0.0,199034.7,12,0.33706802
GSM1594509,GSM1594509,43799,0.0,199957.86,12,0.5552501
GSM1594510,GSM1594510,43799,0.0,201143.36,3,0.48226246
GSM1594511,GSM1594511,43799,0.0,199255.11,12,0.54948777
GSM1594512,GSM1594512,43799,0.0,199143.4,0,0.37447137
GSM1594513,GSM1594513,43799,0.0,200044.95,3,0.17260626
GSM1594514,GSM1594514,43799,0.0,199908.3,13,0.53096145
GSM1594515,GSM1594515,43799,0.0,201471.23,3,0.35622272
GSM1594516,GSM1594516,43799,0.0,201334.47,4,0.5050289
GSM1594517,GSM1594517,43799,0.0,202209.95,3,0.44707108
GSM1594518,GSM1594518,43799,0.0,202606.05,3,0.49625775
GSM1594519,GSM1594519,43799,0.0,199730.98,5,0.47082746
GSM1594520,GSM1594520,43799,0.0,198515.1,8,0.27912158
GSM1594521,GSM1594521,43799,0.0,202441.73,6,0.36026442
GSM1594522,GSM1594522,43799,0.0,199961.38,0,0.47107506
GSM1594523,GSM1594523,43799,0.0,200469.62,0,0.38782406
GSM1594524,GSM1594524,43799,0.0,200406.19,0,0.47495085
GSM1594525,GSM1594525,43799,0.0,202390.77,1,0.4569288
GSM1594526,GSM1594526,43799,0.0,201977.7,1,0.47371766
GSM1594527,GSM1594527,43799,0.0,202764.22,12,0.54775476
GSM1594528,GSM1594528,43799,0.0,204532.4,10,0.36013508
GSM1594529,GSM1594529,43799,0.0,202133.73,3,0.3401601
GSM1594530,GSM1594530,43799,0.0,201394.48,3,0.19184437
GSM1594531,GSM1594531,43799,0.0,201780.55,3,0.3341008
GSM1594532,GSM1594532,43799,0.0,202333.28,3,0.4495785
GSM1594533,GSM1594533,43799,0.0,200842.12,12,0.54604447
GSM1594534,GSM1594534,43799,0.0,202904.36,9,0.54799604
GSM1594535,GSM1594535,43799,0.0,193222.34,8,0.37857458
GSM1594536,GSM1594536,43799,0.0,192804.8,0,0.15657333
GSM1594537,GSM1594537,43799,0.0,196952.42,8,0.3629071
GSM1594538,GSM1594538,43799,0.0,198197.89,11,0.4886366
GSM1594539,GSM1594539,43799,0.0,201794.81,2,0.3389974
GSM1594540,GSM1594540,43799,0.0,201198.69,2,0.404046
GSM1594541,GSM1594541,43799,0.0,195027.6,8,0.35851544
GSM1594542,GSM1594542,43799,0.0,200855.95,2,0.30585617
GSM1594543,GSM1594543,43799,0.0,198368.8,11,0.2712504
GSM1594544,GSM1594544,43799,0.0,197737.5,8,0.49535674
GSM1594545,GSM1594545,43799,0.0,199211.6,11,0.4830741
GSM1594546,GSM1594546,43799,0.0,200833.9,5,0.52353233
GSM1594547,GSM1594547,43799,0.0,199492.55,5,0.45570683
